"priceRange","alcohol","noiseLevel","attire","delivery","parking","waiterService","smoking","outdoorSeating","caters","goodForGroups","goodForKids"
"$$","none","NA","NA","NA","garage","NA","NA","Yes","NA","NA","NA"
"$","none","quiet","casual","No","NA","Yes","NA","No","NA","Yes","NA"
"$$","beer_and_wine","average","casual","No","street","Yes","NA","No","No","Yes","NA"
"$","none","NA","NA","NA","street","NA","NA","Yes","NA","NA","NA"
"$$$","full_bar","average","dressy","No","garage","No","outdoor","Yes","Yes","Yes","NA"
"$","none","loud","casual","No","NA","No","NA","Yes","No","Yes","NA"
"$","none","NA","NA","NA","lot","NA","NA","NA","NA","NA","NA"
"$","full_bar","loud","casual","No","lot","No","outdoor","Yes","No","Yes","NA"
"$","none","quiet","casual","No","lot","No","NA","No","No","Yes","Yes"
"$","none","average","casual","Yes","NA","Yes","NA","No","NA","No","NA"
"$$","beer_and_wine","average","casual","No","lot","No","NA","Yes","Yes","Yes","NA"
"$","none","average","casual","No","NA","No","NA","Yes","Yes","No","NA"
"$","none","NA","casual","No","NA","No","NA","NA","NA","Yes","NA"
"$$","beer_and_wine","quiet","casual","Yes","lot","No","NA","No","Yes","Yes","Yes"
"$$","none","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"$","none","NA","NA","NA","lot","NA","NA","NA","Yes","NA","NA"
"$$","full_bar","very_loud","casual","No","lot","No","NA","No","NA","Yes","NA"
"$","none","average","casual","No","lot","No","NA","Yes","Yes","Yes","NA"
"$","none","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"$$","full_bar","average","casual","No","valet","Yes","NA","Yes","No","Yes","NA"
"$","none","average","casual","Yes","lot","Yes","NA","Yes","Yes","Yes","NA"
"$$","full_bar","average","casual","No","street","Yes","no","Yes","Yes","Yes","NA"
"$","none","NA","NA","NA","street","Yes","NA","NA","NA","NA","NA"
"$","none","NA","NA","NA","lot","Yes","NA","NA","NA","NA","NA"
"$$","none","quiet","casual","No","NA","No","NA","No","No","Yes","NA"
"$$","beer_and_wine","average","casual","Yes","lot","No","NA","Yes","Yes","Yes","NA"
"$$","none","NA","NA","NA","lot","NA","NA","NA","NA","NA","NA"
"$","full_bar","quiet","casual","No","lot","NA","NA","No","NA","Yes","NA"
"$","none","NA","NA","NA","lot","Yes","NA","Yes","NA","NA","NA"
"$$","none","average","casual","Yes","lot","Yes","NA","No","Yes","Yes","NA"
"$","none","NA","NA","NA","lot","NA","NA","NA","NA","NA","NA"
"$","none","average","casual","No","lot","No","NA","Yes","No","Yes","NA"
"$","none","average","casual","No","lot","No","NA","No","Yes","Yes","NA"
"$","none","loud","casual","No","street","No","NA","Yes","No","No","NA"
"$$","full_bar","average","casual","No","garage","No","NA","Yes","No","No","NA"
"$$","full_bar","loud","casual","No","lot","Yes","NA","No","No","Yes","NA"
"$","none","loud","casual","No","lot","Yes","NA","Yes","No","Yes","NA"
"$","none","quiet","casual","No","NA","No","NA","No","No","Yes","NA"
"$$","beer_and_wine","NA","casual","No","lot","NA","NA","No","NA","No","NA"
"$$","full_bar","average","casual","No","street","Yes","NA","Yes","Yes","Yes","Yes"
"$$","none","NA","NA","NA","NA","NA","NA","Yes","NA","NA","NA"
"$","none","NA","NA","NA","lot","NA","NA","NA","NA","NA","NA"
"$","none","NA","NA","NA","lot","Yes","NA","NA","NA","NA","NA"
"$","full_bar","average","casual","No","lot","Yes","NA","Yes","NA","Yes","NA"
"$$","none","average","casual","No","NA","Yes","NA","Yes","Yes","Yes","NA"
"$$","beer_and_wine","loud","casual","No","NA","No","NA","No","No","Yes","NA"
"$$","full_bar","average","casual","No","lot","Yes","NA","Yes","Yes","Yes","NA"
"$$","none","average","casual","No","lot","Yes","NA","No","No","Yes","NA"
"$$$","full_bar","average","casual","No","garage","Yes","NA","No","No","Yes","NA"
"$$","full_bar","loud","NA","NA","street","NA","outdoor","Yes","NA","Yes","NA"
"$$","none","NA","NA","NA","street","Yes","NA","NA","NA","NA","NA"
"$","none","average","casual","Yes","lot","No","NA","No","Yes","Yes","Yes"
"$","none","average","casual","Yes","garage","Yes","NA","No","Yes","Yes","NA"
"$$","full_bar","very_loud","casual","No","garage","No","yes","Yes","No","Yes","NA"
"$","none","NA","NA","NA","lot","Yes","NA","NA","NA","NA","NA"
"$$$","full_bar","average","casual","No","NA","No","NA","No","NA","Yes","NA"
"$$","none","very_loud","casual","No","NA","No","NA","No","NA","Yes","NA"
"$$","none","NA","NA","NA","lot","NA","NA","NA","NA","NA","NA"
"$$","full_bar","average","casual","No","lot","Yes","NA","Yes","NA","Yes","NA"
"$","none","quiet","casual","No","lot","Yes","NA","No","No","Yes","NA"
"$$","none","NA","NA","NA","street","NA","NA","NA","NA","NA","NA"
"$","none","NA","casual","No","NA","Yes","NA","No","NA","Yes","NA"
"$$","none","NA","NA","NA","lot","NA","NA","NA","NA","NA","NA"
"$","none","NA","NA","NA","garage","NA","NA","NA","NA","NA","NA"
"$$","none","NA","NA","NA","lot","Yes","NA","Yes","NA","NA","NA"
"$$","none","average","casual","No","lot","No","NA","No","No","Yes","NA"
"$$","beer_and_wine","average","casual","No","lot","Yes","NA","No","Yes","Yes","NA"
"$$","full_bar","loud","casual","No","lot","No","NA","Yes","NA","Yes","NA"
"$$$","full_bar","average","casual","No","lot","No","NA","No","Yes","Yes","Yes"
"$$$","none","NA","NA","Yes","NA","NA","NA","NA","NA","NA","NA"
"$","none","quiet","casual","Yes","lot","Yes","NA","No","Yes","Yes","NA"
"$","beer_and_wine","loud","casual","No","lot","NA","NA","Yes","Yes","Yes","NA"
"$","none","average","casual","No","NA","NA","NA","No","NA","Yes","NA"
"$","none","average","casual","No","NA","Yes","NA","Yes","Yes","Yes","NA"
"$$","beer_and_wine","average","casual","No","lot","Yes","NA","No","Yes","Yes","NA"
"$$","none","average","casual","Yes","lot","Yes","NA","Yes","Yes","Yes","NA"
"$","none","NA","NA","NA","street","NA","NA","Yes","NA","NA","NA"
"$","none","NA","casual","Yes","lot","No","NA","No","NA","Yes","NA"
"$$$","full_bar","loud","dressy","No","NA","Yes","NA","No","NA","Yes","NA"
"$","none","average","casual","No","NA","No","NA","No","No","Yes","NA"
"$$","full_bar","average","NA","NA","NA","NA","yes","No","NA","Yes","NA"
"$","none","NA","NA","NA","lot","Yes","NA","NA","NA","NA","NA"
"$","none","NA","NA","NA","lot","NA","NA","NA","NA","NA","NA"
"$","none","quiet","casual","No","lot","No","NA","No","Yes","Yes","NA"
"$$","none","very_loud","casual","No","NA","Yes","NA","No","No","No","NA"
"$","beer_and_wine","average","casual","No","lot","Yes","NA","Yes","Yes","Yes","NA"
"$$$","full_bar","average","casual","No","NA","NA","no","No","NA","Yes","NA"
"$","none","quiet","casual","No","lot","No","NA","Yes","Yes","No","NA"
"$$","full_bar","average","casual","No","street","Yes","NA","Yes","No","Yes","No"
"$$","full_bar","average","casual","No","street","Yes","no","No","No","Yes","NA"
"$","none","quiet","formal","NA","NA","Yes","NA","No","NA","Yes","NA"
"$$","full_bar","average","casual","No","lot","No","NA","Yes","Yes","Yes","NA"
"$$","none","average","casual","No","lot","Yes","NA","No","NA","Yes","NA"
"$","none","average","casual","No","lot","Yes","NA","Yes","Yes","Yes","NA"
"$$","none","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"$$","full_bar","average","casual","No","street","Yes","NA","No","NA","Yes","NA"
"$$","full_bar","very_loud","NA","NA","street","No","no","No","NA","Yes","NA"
"$$","full_bar","average","casual","No","lot","Yes","outdoor","Yes","NA","Yes","NA"
"$$","full_bar","average","casual","Yes","lot","No","NA","No","Yes","Yes","NA"
"$","none","average","casual","No","garage","No","NA","Yes","Yes","Yes","NA"
"$$","none","NA","NA","NA","NA","NA","NA","No","NA","NA","NA"
"$$","full_bar","average","casual","No","garage","Yes","NA","Yes","Yes","Yes","NA"
"$","none","NA","casual","No","lot","Yes","NA","No","NA","Yes","NA"
"$","full_bar","quiet","casual","Yes","lot","NA","NA","No","NA","No","NA"
"$","none","average","casual","Yes","NA","No","NA","Yes","Yes","Yes","NA"
"$","none","average","casual","No","lot","Yes","NA","Yes","No","No","NA"
"$","none","NA","NA","NA","lot","Yes","NA","Yes","NA","NA","NA"
"$$","full_bar","average","casual","No","lot","No","NA","Yes","NA","Yes","NA"
